failure_scenario,variant,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F1,V5,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,V5,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,V5,P95,10,61.98010000000001,61.6245,7.510879242065399,56.573,65.284,8.711000000000006,49.882999999999996,75.485,57.324808815460464,66.63539118453954
F1,V5,P99,10,88.048,88.80850000000001,8.849557063617487,83.001,92.788,9.786999999999992,75.63600000000001,102.411,82.56298770548608,93.53301229451392
F1,V5,throughput,10,987.4207454738078,986.4318447203749,33.735132491902874,960.0316123690718,1012.3569313751158,52.32531900604397,935.0363166394707,1042.4714435970125,966.5114937287826,1008.3299972188329
F2,V0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2,V0,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F2,V0,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2,V0,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F2,V0,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F2,V0,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2,V0,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2,V0,P95,10,50.5692,47.522999999999996,23.206631967799392,41.488,50.056,8.567999999999998,12.819,90.564,36.18558048745381,64.95281951254618
F2,V0,P99,10,63.69369999999999,58.314,26.73177523742941,51.188,60.629,9.440999999999995,26.625,112.347,47.125174052606795,80.26222594739319
F2,V0,throughput,10,1498.9085339526812,1609.5544559340567,258.9481890547525,1506.8735434207338,1644.8296132577618,137.95606983702805,990.8240843041832,1689.4294814608825,1338.4107835684565,1659.4062843369059
F2,V1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2,V1,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F2,V1,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2,V1,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F2,V1,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F2,V1,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2,V1,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2,V1,P95,10,41.074799999999996,47.3525,13.905167678880314,41.722,49.046,7.323999999999998,13.726,50.953,32.45628778208355,49.69331221791644
F2,V1,P99,10,51.2461,56.861000000000004,14.249224341072823,51.948,58.84,6.892000000000003,16.295,61.957,42.41433925353359,60.077860746466406
F2,V1,throughput,10,1582.5283666508735,1565.9867419698635,66.38758839613448,1532.817215074446,1633.091432163324,100.274217088878,1474.4515298997555,1678.9349326971617,1541.380913062154,1623.6758202395931
F2,V2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2,V2,EOER,10,0.9006400000000001,0.90055,0.00322290414240187,0.8979,0.9031,0.005199999999999982,0.8955,0.9054,0.8986424233170053,0.9026375766829949
F2,V2,LER,10,0.09936,0.09945000000000001,0.0032229041424018654,0.0969,0.1021,0.005199999999999996,0.0946,0.1045,0.09736242331700522,0.10135757668299479
F2,V2,RAF,10,1.39744,1.3978,0.012891616569607443,1.3876,1.4084,0.02080000000000015,1.3784,1.418,1.389449693268021,1.405430306731979
F2,V2,DAF,10,0.9006400000000001,0.90055,0.00322290414240187,0.8979,0.9031,0.005199999999999982,0.8955,0.9054,0.8986424233170053,0.9026375766829949
F2,V2,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2,V2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2,V2,P95,10,73.70620000000001,63.99950000000001,23.302960850501382,60.653000000000006,78.874,18.22099999999999,50.258,119.137,59.262875227389515,88.1495247726105
F2,V2,P99,10,110.6908,92.9665,48.36083842853751,85.76899999999999,100.743,14.974000000000004,68.885,201.783,80.71644179804298,140.665158201957
F2,V2,throughput,10,859.7527264110824,904.0154207490873,109.1034359705427,819.3773503866598,924.1387327384873,104.76138235182748,668.2969231650472,966.2330628038452,792.1297162004998,927.375736621665
F2,V3,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2,V3,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F2,V3,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
