failure_scenario,variant,failure_probability,concurrency,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F3,V5,0.2,10,RAF,10,1.1996600000000002,1.1999499999999999,0.003726541440949099,1.1969,1.2012,0.0042999999999999705,1.1955,1.2078,1.1973502656853128,1.2019697343146876
F3,V5,0.2,10,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V5,0.2,10,P95,10,19.875200000000003,18.4805,2.9957185300209885,17.988999999999997,22.839,4.850000000000001,15.953,24.653,18.01843441840699,21.731965581593016
F3,V5,0.2,10,P99,10,23.630399999999998,20.7865,5.593796170759175,20.075,25.992,5.917000000000002,18.490000000000002,33.733000000000004,20.163329213399873,27.097470786600123
F3,V5,0.2,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.2,50,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V5,0.2,50,RSR,10,0.20097,0.2013,0.004722769902880678,0.1979,0.2056,0.007700000000000012,0.1911,0.206,0.19804279688743295,0.20389720311256707
F3,V5,0.2,50,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.2,50,RAF,10,1.20097,1.2012999999999998,0.004722769902880659,1.1979,1.2056,0.00770000000000004,1.1911,1.206,1.198042796887433,1.2038972031125672
F3,V5,0.2,50,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V5,0.2,50,P95,10,75.14859999999999,80.7235,17.09708716061826,69.55499999999999,85.279,15.724000000000004,32.792,94.05799999999999,64.55171559073294,85.74548440926704
F3,V5,0.2,50,P99,10,94.9654,100.4915,19.972542870428672,91.803,105.595,13.792000000000002,42.778999999999996,114.08699999999999,82.5862896773613,107.34451032263871
F8,V4,0.01,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,0.01,10,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V4,0.01,10,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,0.01,10,UAR,10,0.009940000000000001,0.0103,0.0011964763079792076,0.0089,0.0105,0.0016000000000000007,0.0076,0.0117,0.009198416301269897,0.010681583698730105
F8,V4,0.01,10,RAF,10,1.03976,1.0412,0.004785905231916841,1.0356,1.042,0.006399999999999961,1.0304,1.0468,1.0367936652050795,1.0427263347949205
F8,V4,0.01,10,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V4,0.01,10,P95,10,11.3089,10.460999999999999,1.4999794405998446,10.147,12.647,2.5,9.771,13.874,10.379203110758732,12.238596889241267
F8,V4,0.01,10,P99,10,16.543400000000002,15.59,3.0514560531727217,13.969,20.251,6.282000000000002,12.487,21.039,14.652087943645002,18.434712056355
F8,V4,0.01,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,0.01,50,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V4,0.01,50,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,0.01,50,UAR,10,0.0099,0.009600000000000001,0.0009966610925150705,0.0089,0.0106,0.0017000000000000001,0.0089,0.0119,0.009282263054906596,0.010517736945093406
F8,V4,0.01,50,RAF,10,1.0396,1.0384,0.00398664437006028,1.0356,1.0424,0.006799999999999917,1.0356,1.0476,1.0371290522196264,1.0420709477803738
F8,V4,0.01,50,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V4,0.01,50,P95,10,39.4488,42.691500000000005,8.476314316965835,37.905,43.703,5.798000000000002,21.161,49.019,34.195125956599135,44.70247404340086
