failure_scenario,failure_probability,concurrency,variant,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F4,0.01,50,V3,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,50,V3,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V3,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V3,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V3,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,50,V3,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,50,V3,P95,10,37.662099999999995,41.431,11.072871528098652,29.384,46.054,16.67,13.722,48.538,30.799063123624705,44.525136876375285
F4,0.01,50,V3,throughput,10,1661.284148576177,1660.0133681415582,84.38540852712451,1608.5582904987616,1701.994699526986,93.43640902822449,1556.1867742912832,1848.1190648789943,1608.9815304991932,1713.5867666531606
F4,0.01,50,V4,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V4,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,50,V4,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V4,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V4,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V4,RAF,10,1.0096900000000002,1.00975,0.0009433392225964633,1.0092,1.0104,0.0011999999999998678,1.0078,1.0111,1.009105312292283,1.0102746877077173
F4,0.01,50,V4,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,50,V4,P95,10,28.368599999999997,26.861,5.222661182024183,24.549,31.646,7.097000000000001,22.697,39.901,25.13156106262144,31.605638937378554
F4,0.01,50,V4,throughput,10,1041.7470794388742,1047.262325876514,24.712444200314835,1034.5399822448908,1053.8453850018168,19.305402756926014,988.3540088729566,1071.7123403458543,1026.4301478352027,1057.0640110425456
F4,0.01,50,V5,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V5,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,50,V5,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V5,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V5,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V5,RAF,10,1.01011,1.0098,0.001064007101062344,1.0095,1.0108,0.0012999999999998568,1.0086,1.012,1.0094505215663538,1.0107694784336463
F4,0.01,50,V5,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,50,V5,P95,10,27.5862,28.255000000000003,3.7241025406577273,25.384,29.995,4.611000000000001,21.011,33.581,25.27797733137435,29.894422668625655
F4,0.01,50,V5,throughput,10,1056.0220823569612,1049.0085078924672,18.04430522714864,1041.934112852563,1070.741800777526,28.80768792496292,1033.2884457802588,1085.587870001656,1044.838106107599,1067.2060586063233
F4,0.05,10,V0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.05,10,V0,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.05,10,V0,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.05,10,V0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.05,10,V0,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.05,10,V0,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.05,10,V0,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.05,10,V0,P95,10,10.209999999999999,9.117999999999999,2.295247263368372,8.958,10.418,1.459999999999999,8.548,14.726,8.787391007479567,11.632608992520431
