group,failure_scenario,variant,metric,seed_count,min_seed_mean,max_seed_mean,all_seeds_nonzero,zero_seed_count
group_b_ambiguous,F9,V4,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F9,V4,DAF,10,1.0,1.0,True,0
group_b_ambiguous,F9,V4,P95,10,32.8875,49.899625,True,0
group_d_capability,F3,V5,DER,10,0.0,0.0,False,10
group_d_capability,F3,V5,UAR,10,0.06396666666666667,0.07063333333333334,True,0
group_d_capability,F3,V5,DAF,10,1.0,1.0,True,0
group_d_capability,F3,V5,P95,10,91.99433333333332,185.68166666666667,True,0
group_d_capability,F8,V5,DER,10,0.0,0.0,False,10
group_d_capability,F8,V5,UAR,10,0.06383333333333334,0.06846666666666666,True,0
group_d_capability,F8,V5,DAF,10,1.0,1.0,True,0
group_d_capability,F8,V5,P95,10,42.04066666666667,74.77433333333333,True,0
group_a_baseline,F0,V5,DER,10,0.0,0.0,False,10
group_a_baseline,F0,V5,UAR,10,0.0,0.0,False,10
group_a_baseline,F0,V5,DAF,10,1.0,1.0,True,0
group_a_baseline,F0,V5,P95,10,38.5255,67.88250000000001,True,0
group_c_duplicates,F11,V5,DER,10,0.0,0.0,False,10
group_c_duplicates,F11,V5,UAR,10,0.0,0.0,False,10
group_c_duplicates,F11,V5,DAF,10,1.0,1.0,True,0
group_c_duplicates,F11,V5,P95,10,105.63266666666668,111.54333333333334,True,0
group_e_safe_controls,F1,V5,DER,10,0.0,0.0,False,10
group_e_safe_controls,F1,V5,UAR,10,0.0,0.0,False,10
group_e_safe_controls,F1,V5,DAF,10,0.8063,0.8142,True,0
group_e_safe_controls,F1,V5,P95,10,49.882999999999996,75.485,True,0
group_e_safe_controls,F2,V5,DER,10,0.0,0.0,False,10
group_e_safe_controls,F2,V5,UAR,10,0.0,0.0,False,10
group_e_safe_controls,F2,V5,DAF,10,0.895,0.9067,True,0
group_e_safe_controls,F2,V5,P95,10,49.287000000000006,80.518,True,0
group_b_ambiguous,F3,V5,DER,10,0.0,0.0,False,10
group_b_ambiguous,F3,V5,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F3,V5,DAF,10,1.0,1.0,True,0
group_b_ambiguous,F3,V5,P95,10,36.683,47.24575,True,0
group_b_ambiguous,F4,V5,DER,10,0.0,0.0,False,10
group_b_ambiguous,F4,V5,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F4,V5,DAF,10,1.0,1.0,True,0
group_b_ambiguous,F4,V5,P95,10,1028.71975,1595.238125,True,0
group_c_duplicates,F5,V5,DER,10,0.0,0.0,False,10
group_c_duplicates,F5,V5,UAR,10,0.0,0.0,False,10
group_c_duplicates,F5,V5,DAF,10,1.0,1.0,True,0
group_c_duplicates,F5,V5,P95,10,80.89833333333333,121.936,True,0
group_c_duplicates,F6,V5,DER,10,0.0,0.0,False,10
group_c_duplicates,F6,V5,UAR,10,0.0,0.0,False,10
group_c_duplicates,F6,V5,DAF,10,0.9932666666666667,1.0,True,0
group_c_duplicates,F6,V5,P95,10,100.83166666666668,143.38966666666667,True,0
group_e_safe_controls,F7,V5,DER,10,0.0,0.0,False,10
group_e_safe_controls,F7,V5,UAR,10,0.0,0.0,False,10
group_e_safe_controls,F7,V5,DAF,10,0.8941,0.9037,True,0
group_e_safe_controls,F7,V5,P95,10,50.166000000000004,85.768,True,0
group_b_ambiguous,F8,V5,DER,10,0.0,0.0,False,10
group_b_ambiguous,F8,V5,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F8,V5,DAF,10,1.0,1.0,True,0
group_b_ambiguous,F8,V5,P95,10,21.5375,28.165875,True,0
group_b_ambiguous,F9,V5,DER,10,0.0,0.0,False,10
group_b_ambiguous,F9,V5,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F9,V5,DAF,10,1.0,1.0,True,0
group_b_ambiguous,F9,V5,P95,10,31.648375,55.280375,True,0
