workload,failure_scenario,variant,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
charge_payment,F8,V2,throughput,10,721.6191524890321,724.2050674515875,18.372832940425525,718.4995513985872,731.1872607611972,12.687709362610008,688.2047208472161,750.3698219625271,710.2315526533755,733.0067523246887
charge_payment,F8,V4,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charge_payment,F8,V4,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
charge_payment,F8,V4,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charge_payment,F8,V4,UAR,10,0.10078000000000001,0.10200000000000001,0.003103689560650177,0.0994,0.1025,0.0030999999999999917,0.093,0.1032,0.0988563132802986,0.10270368671970141
charge_payment,F8,V4,RAF,10,1.4031200000000001,1.408,0.012414758242600675,1.3976,1.41,0.012399999999999967,1.372,1.4128,1.3954252531211946,1.4108147468788057
charge_payment,F8,V4,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
charge_payment,F8,V4,P95,10,20.5674,19.9215,1.3223869159801738,19.582,22.083,2.5009999999999977,19.267,22.924,19.747776097909398,21.3870239020906
charge_payment,F8,V4,throughput,10,700.0794536830601,692.8939018443735,20.233418832850614,688.8521644485286,704.1999645944384,15.347800145909787,679.7979172430173,749.8816974832476,687.5386507637252,712.6202566023951
charge_payment,F8,V5,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charge_payment,F8,V5,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
charge_payment,F8,V5,RSR,10,0.09955,0.1005,0.002808024216419796,0.0982,0.101,0.002800000000000011,0.0943,0.1031,0.09780956855923596,0.10129043144076404
charge_payment,F8,V5,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charge_payment,F8,V5,RAF,10,1.1991,1.201,0.005616048432839548,1.1964,1.202,0.005600000000000049,1.1886,1.2062,1.195619137118472,1.2025808628815282
