experiment_id,metric,observed_value,group_distribution_context,possible_infrastructure_note
CREATEORDER_V0_C0_F5_P0_C50_FAN5_S7000,throughput,869.9400340741225,"('group_c_duplicates', 'F5', 'V0', 50);Q1=722.7059028817421;Q3=781.3731315167109;IQR=58.667228634968865",
CREATEORDER_V0_C0_F6_P0_C50_FAN2_S7001,P99,1487.7440000000001,"('group_c_duplicates', 'F6', 'V0', 50);Q1=50.397999999999996;Q3=250.869;IQR=200.471",
CREATEORDER_V0_C0_F6_P0_C50_FAN5_S7000,P99,1941.7050000000004,"('group_c_duplicates', 'F6', 'V0', 50);Q1=50.397999999999996;Q3=250.869;IQR=200.471",
CREATEORDER_V0_C0_F6_P0_C50_FAN5_S7001,P99,10026.059,"('group_c_duplicates', 'F6', 'V0', 50);Q1=50.397999999999996;Q3=250.869;IQR=200.471",
CREATEORDER_V0_C0_F7_P10_C50_S7001,P95,83.637,"('group_e_safe_controls', 'F7', 'V0', 50);Q1=46.385;Q3=50.496;IQR=4.111000000000004",
CREATEORDER_V0_C0_F7_P10_C50_S7003,P95,27.207,"('group_e_safe_controls', 'F7', 'V0', 50);Q1=46.385;Q3=50.496;IQR=4.111000000000004",
CREATEORDER_V0_C0_F7_P10_C50_S7006,P95,90.909,"('group_e_safe_controls', 'F7', 'V0', 50);Q1=46.385;Q3=50.496;IQR=4.111000000000004",
CREATEORDER_V0_C0_F7_P10_C50_S7001,P99,107.739,"('group_e_safe_controls', 'F7', 'V0', 50);Q1=56.511;Q3=60.652;IQR=4.140999999999998",
CREATEORDER_V0_C0_F7_P10_C50_S7003,P99,42.933,"('group_e_safe_controls', 'F7', 'V0', 50);Q1=56.511;Q3=60.652;IQR=4.140999999999998",
CREATEORDER_V0_C0_F7_P10_C50_S7006,P99,113.189,"('group_e_safe_controls', 'F7', 'V0', 50);Q1=56.511;Q3=60.652;IQR=4.140999999999998",
CREATEORDER_V0_C0_F7_P10_C50_S7001,throughput,1120.721194075283,"('group_e_safe_controls', 'F7', 'V0', 50);Q1=1484.6191997682547;Q3=1663.4072487255273;IQR=178.78804895727262",
CREATEORDER_V0_C0_F7_P10_C50_S7006,throughput,988.7742417188733,"('group_e_safe_controls', 'F7', 'V0', 50);Q1=1484.6191997682547;Q3=1663.4072487255273;IQR=178.78804895727262",
CREATEORDER_V0_C0_F8_P1_C50_S7001,P95,13.489,"('group_b_ambiguous', 'F8', 'V0', 50);Q1=31.889999999999997;Q3=41.864;IQR=9.974",
